concepts
Octopus
Cephalopoda
Benthoctopus
Ctenophora
Decapoda
Eucarida
Keratoisidinae "internodal tentacle"
Arachnactis
Medusae
Pteropoda
Octopoda
Abralia
Abraliopsis
Abraliopsis (Boreabraliopsis) felis
Abyssoberyx
Abyssocladia
Abyssocladia lakwollii
Abyssocucumis abyssorum
Abyssopathes
Abyssopathes lyra
Auloplax
Aulosphaera
Aurelia aurita
Austinograea
Babamunida
Babamunida plexaura
bacterial mat
